Individual,HorizontalRange,VerticalRange,MeanOfDataPoint0(X),MeanOfDataPoint0(Y),MeanOfDataPoint0(Z),MeanOfDataPoint1(X),MeanOfDataPoint1(Y),MeanOfDataPoint1(Z),MeanOfDataPoint2(X),MeanOfDataPoint2(Y),MeanOfDataPoint2(Z),MeanOfDataPoint3(X),MeanOfDataPoint3(Y),MeanOfDataPoint3(Z),MeanOfDataPoint4(X),MeanOfDataPoint4(Y),MeanOfDataPoint4(Z),MeanOfDataPoint5(X),MeanOfDataPoint5(Y),MeanOfDataPoint5(Z),MeanOfDataPoint6(X),MeanOfDataPoint6(Y),MeanOfDataPoint6(Z),MeanOfDataPoint7(X),MeanOfDataPoint7(Y),MeanOfDataPoint7(Z),MeanOfDataPoint8(X),MeanOfDataPoint8(Y),MeanOfDataPoint8(Z),MeanOfDataPoint9(X),MeanOfDataPoint9(Y),MeanOfDataPoint9(Z),MeanOfDataPoint10(X),MeanOfDataPoint10(Y),MeanOfDataPoint10(Z),MeanOfDataPoint11(X),MeanOfDataPoint11(Y),MeanOfDataPoint11(Z),MeanOfDataPoint12(X),MeanOfDataPoint12(Y),MeanOfDataPoint12(Z),MeanOfDataPoint13(X),MeanOfDataPoint13(Y),MeanOfDataPoint13(Z),MeanOfDataPoint14(X),MeanOfDataPoint14(Y),MeanOfDataPoint14(Z),
Person025,1.3983386,1.3658477,0.2116083738927983,0.1755928788754688,2.612979129032253,0.15204360000900233,0.8864156909977493,2.591946286571641,0.23820215071197257,0.3801041570142535,2.622787380345085,0.06680389088634661,0.17572785146571634,2.5505906189047227,0.13787142401372834,0.30619838109527364,2.6050439407351815,0.0657379360084021,0.10207559860832711,2.559802600150036,0.10143550846461354,0.25258646470367657,2.5919220285071294,0.14750220486357854,0.7496626204801208,2.60245381695424,0.060349329640585106,0.38283431125281275,2.514741043510877,0.13996445241183797,0.3789914878469614,2.612341222805698,0.15632244027591904,-0.2410442168792195,2.6635606031507852,0.17398674068057002,0.2538052728507125,2.615184660165041,0.2195910952118527,0.6440899185296329,2.6392017336834237,0.21290094238186552,0.10641215512205557,2.6095865843961,0.05644425265266314,0.626045003600901,2.5491119999999956,
Person033,2.6533533,1.8177642999999999,0.039259518641085255,-0.05100635859138664,2.678998849267872,-0.026561259676830318,0.7178403867355726,2.8663933496985328,0.0805761283634797,0.143202530164858,2.625906339362619,-0.07878959740310076,-0.02625544325352283,2.769105974160205,-0.021800119675081865,0.0486569627770887,2.787619489233421,-0.08600325628450448,-0.09332923516960374,2.7687821266149863,-0.05747248297777784,-0.004841691186115412,2.785718858742465,-0.005381120490956102,0.5373975421188625,2.844572517657192,-0.09749257597924205,0.17202247956503,2.7672950818260134,0.004176265678553012,0.12400240149009452,2.8284937708871674,-0.00666149777510768,-0.47263745658914735,2.8511830594315266,0.010473332519026721,7.126679810509253E-5,2.7742610878552982,0.06463256332859617,0.4159695365805343,2.6916052136089585,0.030748312183979307,-0.11007966648070634,2.7015628329026713,-0.07801998365134369,0.41781959356589127,2.819703442721793,
Person083,1.6491987000000001,1.2719787,0.18967367448225533,0.10544581952479286,2.361297489220564,0.14903191155704798,0.7755445996683251,2.5748266417910455,0.22248076050232166,0.2945430477446101,2.382675966832503,0.08400765055737969,0.11072509570978434,2.445889885572142,0.1586026926121061,0.18824510928689875,2.497904028192373,0.07999491115688226,0.06295056624378102,2.4527022885572145,0.11699875044112747,0.1374016173134329,2.4959400165837486,0.16000170780895526,0.5917487799336649,2.52977889718076,0.059422671265671585,0.26409946951907104,2.433780525704812,0.16378281700829195,0.2514478719734658,2.5257900033167453,0.1898910200433996,-0.29132981990049744,2.6039460563847454,0.20423890791210653,0.13889094535655055,2.493389941956882,0.25733658778142665,0.48991725505804284,2.4866028391376447,0.1780208164195686,0.05084349849850745,2.3623427446102805,0.06317840878374781,0.460901533665009,2.4641246467661686,
Person033,1.4227799,1.5063573,0.03220068060086808,-0.04964405372659826,2.6676221444356765,-0.05599683131247033,0.7136646486977113,2.8717310773480667,0.07046938309352804,0.13115086668571413,2.6255713401736402,-0.09917014487180742,-0.022222537211681114,2.7864835138121555,-0.036904833597474346,0.05041087242423052,2.7905698839778954,-0.10646567806787692,-0.0893077817245225,2.783868063930546,-0.07760305436456201,-0.008069307350710325,2.79022901262825,-0.015654580477900547,0.5432245068666139,2.8500747056037863,-0.08738385559471191,0.17013463741278592,2.800442989739539,-0.006069439868587231,0.12572754669252587,2.835010247829519,-0.011615771576085242,-0.47158008295185494,2.836764322809782,-0.001701791119494849,-0.005703732616187846,2.772923286503553,0.05795403068966055,0.3928245180741917,2.6845111168113633,0.02663574856061565,-0.11282833850678779,2.6830075217048166,-0.09838208565329128,0.41765571520126316,2.8319660118389898,
Person085,1.5683132,1.3148533,-0.013241124168034081,0.1415243802006966,2.902547268575853,-0.10477321832856024,0.8801029508513928,2.8974527530959766,0.02142186368452009,0.3485590729876159,2.909980512383899,-0.2030165524193497,0.141376463348297,2.921525613003095,-0.09173845656563466,0.210461298452012,2.8938969195046456,-0.20837909693212078,0.07706161242488782,2.922206357585138,-0.1343237036009289,0.15700399972136225,2.890517674148608,-0.0905617150260835,0.7212685854489169,2.9050235487616076,-0.20950434808034032,0.3483928023219812,2.911798853715169,-0.0856058374458979,0.2943387813467494,2.9060920410216724,-0.07121147241818883,-0.26304746130030937,2.9420767143962845,-0.050033506100642416,0.16155378322755432,2.892352766253873,-0.003246845671439643,0.5914393796439636,2.906014647058826,-0.01785178644209757,0.08433537607097537,2.9036429210526284,-0.18513645266834364,0.5727898637770904,2.8859340077399396,
Person044,1.1533974,1.7249998,0.2626478828769841,0.15368642763888904,2.3008845218253966,0.21450289418273824,0.8426153490079358,2.5217462817460325,0.2915370616757934,0.36050972099206335,2.319280404761903,0.1725570629632937,0.10011806083630953,2.4440000496031744,0.2331163279642857,0.10780140996825403,2.4655430694444433,0.1732912505535714,0.05225723619454361,2.45313672420635,0.1941112835952382,0.06212399251785721,2.466251007936508,0.25088542820813503,0.6414259741789687,2.50067560714286,0.144679017761508,0.2957270452871026,2.4314677599206367,0.2435631074781743,0.19472709052499992,2.4963255476190502,0.2803737940990077,-0.44541184920634935,2.5057815853174596,0.2695508512242066,0.058318813522420646,2.4595711150793655,0.34536431546825347,0.515218923670635,2.4265168115079345,0.2638712596388886,0.08569635730912695,2.2981759126984116,0.1757509414684522,0.5410101543253976,2.4802902281746046,
Person099,1.1538863,1.2941405,0.2047189973734762,-0.06597334108574962,2.424885028006588,0.1716487325473641,0.6441145725700164,2.5397776474464586,0.21554106462850048,0.12219049107907742,2.4212802883031306,0.07286354795578263,-0.11515913024481052,2.507736596375623,0.14850769359579902,0.026367256725617773,2.4684548130148305,0.06531730922973635,-0.17367827983525547,2.5103927331136733,0.11220304395164742,-0.020422763069662276,2.466491520593083,0.16048470663220743,0.4874043579901156,2.5069156548599696,0.059154034118698476,0.1100786072759473,2.5003513130148227,0.1669225933438549,0.10098833200164739,2.48668131878089,0.18527020967197708,-0.4828769988467874,2.4897153187808874,0.182587237095519,-0.02099246233593907,2.460481673805602,0.2365641641002635,0.34799752899505787,2.477288490939041,0.20116721113023037,-0.12549946008088972,2.4223731334431675,0.07520908564736419,0.3526644929983525,2.48616862438221,
Person097,1.4482985,1.4670706999999998,-0.05478456562371226,-0.09663010725364103,2.6246027051509784,-0.12684165286030194,0.7421733109236233,2.7659604964476,0.010512105898321553,0.15515852043516856,2.6482331367673204,-0.20968915912513322,-0.03121642983715809,2.758800273534632,-0.1318155107037477,0.07873402659447332,2.727752906749551,-0.21389438261412091,-0.09264638444786852,2.7650804991119,-0.182419761376288,0.022044518139333055,2.7201705923623427,-0.11452976843294135,0.5731676673179392,2.766222892539962,-0.20710983851154535,0.18983254593250443,2.735435106571934,-0.12213403034191832,0.15721977730017747,2.755934443161637,-0.10574597192451153,-0.46897919698046153,2.7648978818827747,-0.08503000067300172,0.023880834086678487,2.723128795737125,-0.023324259895914735,0.43650425825932526,2.77376671580817,-0.05182985549577263,-0.16021518874777985,2.6302332637655415,-0.2356753780103909,0.4476413510657198,2.7861256341030214,
Person159,1.6955639,1.4149278,0.045429132578895255,0.35887877378400573,2.5789414789777356,-6.373149810552412E-4,1.0541385401483914,2.6249710840890397,0.06741427013325633,0.5908791565539985,2.570585918384169,-0.10343835119584659,0.4049687091508655,2.694823389942298,-0.015743375645424607,0.5094089281945587,2.680568115416325,-0.10776993986224263,0.3435268713025554,2.7078618095630707,-0.07109539746290197,0.4484142704863974,2.687147676834294,-0.012806070111953909,0.8707322780708988,2.6291072720527637,-0.11134060442102203,0.6142963741137678,2.648018609233306,-0.014953742861500436,0.5697296823577896,2.6743587666941475,0.015063160475103131,-0.027341637143083283,2.8421590354492925,0.04039383051319049,0.4495704919208577,2.688649569661997,0.09811470943610887,0.8171341849958778,2.633814418796374,0.036849783535284335,0.2919469750288542,2.58997285985161,-0.13590505791970298,0.8180641615828508,2.6346487394888682,
Person061,0.9621818,1.384893,0.19355515899712844,-0.1167078227548986,2.8024078310810774,0.08912630115016888,0.7059279430743246,2.836897976351351,0.22342431163057427,0.13057734047128403,2.8084317871621614,-0.012407583977195925,-0.08605636088006752,2.8366929391891866,0.08540124365371614,0.06804983304326012,2.789420778716212,-0.016648241920608105,-0.1546487997128378,2.840787206081086,0.04025268292820947,0.0036836559432432414,2.7913776993243262,0.09684082595489868,0.5377016337837833,2.8455815337837818,-0.02226622321064189,0.14479623627871627,2.8406374476351344,0.09957952078209463,0.14441529822635135,2.8118736959459465,0.114048173741554,-0.49753808716216225,2.8227334020270316,0.1274319919263009,0.0033911912380810826,2.769106695945944,0.1988258310118246,0.4164536440878373,2.8367042432432448,0.18549167480050666,-0.18581643869932443,2.801070592905408,0.006046821841216149,0.4223276922297296,2.850194425675675,
